date,category,amount,currency,description
2023-01-31,hosting,3500,GBP,AWS infrastructure costs
2023-01-31,support,2000,GBP,Customer support team
2023-01-31,software_licenses,800,GBP,Third-party API costs
2023-02-28,hosting,3700,GBP,AWS infrastructure costs
2023-02-28,support,2000,GBP,Customer support team
2023-02-28,software_licenses,850,GBP,Third-party API costs
2023-03-31,hosting,4200,GBP,AWS infrastructure costs
2023-03-31,support,2500,GBP,Customer support team
2023-03-31,software_licenses,900,GBP,Third-party API costs
2023-04-30,hosting,4500,GBP,AWS infrastructure costs
2023-04-30,support,2500,GBP,Customer support team
2023-04-30,software_licenses,950,GBP,Third-party API costs
2023-05-31,hosting,5200,GBP,AWS infrastructure costs
2023-05-31,support,3000,GBP,Customer support team
2023-05-31,software_licenses,1000,GBP,Third-party API costs
2023-06-30,hosting,5500,GBP,AWS infrastructure costs
2023-06-30,support,3000,GBP,Customer support team
2023-06-30,software_licenses,1050,GBP,Third-party API costs
2023-07-31,hosting,5800,GBP,AWS infrastructure costs
2023-07-31,support,3500,GBP,Customer support team
2023-07-31,software_licenses,1100,GBP,Third-party API costs
2023-08-31,hosting,6000,GBP,AWS infrastructure costs
2023-08-31,support,3500,GBP,Customer support team
2023-08-31,software_licenses,1150,GBP,Third-party API costs
2023-09-30,hosting,6500,GBP,AWS infrastructure costs
2023-09-30,support,4000,GBP,Customer support team
2023-09-30,software_licenses,1200,GBP,Third-party API costs
2023-10-31,hosting,6800,GBP,AWS infrastructure costs
2023-10-31,support,4000,GBP,Customer support team
2023-10-31,software_licenses,1250,GBP,Third-party API costs
2023-11-30,hosting,7200,GBP,AWS infrastructure costs
2023-11-30,support,4500,GBP,Customer support team
2023-11-30,software_licenses,1300,GBP,Third-party API costs
2023-12-31,hosting,7500,GBP,AWS infrastructure costs
2023-12-31,support,4500,GBP,Customer support team
2023-12-31,software_licenses,1350,GBP,Third-party API costs
2024-01-31,hosting,7800,GBP,AWS infrastructure costs
2024-01-31,support,5000,GBP,Customer support team
2024-01-31,software_licenses,1400,GBP,Third-party API costs
2024-02-29,hosting,8200,GBP,AWS infrastructure costs
2024-02-29,support,5000,GBP,Customer support team
2024-02-29,software_licenses,1450,GBP,Third-party API costs
2024-03-31,hosting,8800,GBP,AWS infrastructure costs
2024-03-31,support,5500,GBP,Customer support team
2024-03-31,software_licenses,1500,GBP,Third-party API costs
